n,m,k,p,t
1000,1000,2,1,0.057
1000,1000,2,2,0.036
1000,1000,2,4,0.05
1000,1000,2,8,0.02
1000,1000,2,16,0.019
1000,1000,2,32,0.007
1000,1000,2,64,0.016
1000,1000,2,128,0.017
1000,1000,5,1,0.155
1000,1000,5,2,0.091
1000,1000,5,4,0.089
1000,1000,5,8,0.075
1000,1000,5,16,0.05
1000,1000,5,32,0.025
1000,1000,5,64,0.015
1000,1000,5,128,0.041
1000,1000,10,1,0.342
1000,1000,10,2,0.223
1000,1000,10,4,0.158
1000,1000,10,8,0.074
1000,1000,10,16,0.044
1000,1000,10,32,0.039
1000,1000,10,64,0.034
1000,1000,10,128,0.023
1000,5000,2,1,0.165
1000,5000,2,2,0.106
1000,5000,2,4,0.085
1000,5000,2,8,0.056
1000,5000,2,16,0.045
1000,5000,2,32,0.026
1000,5000,2,64,0.021
1000,5000,2,128,0.022
1000,5000,5,1,0.577
1000,5000,5,2,0.352
1000,5000,5,4,0.259
1000,5000,5,8,0.205
1000,5000,5,16,0.056
1000,5000,5,32,0.055
1000,5000,5,64,0.055
1000,5000,5,128,0.032
1000,5000,10,1,1.251
1000,5000,10,2,0.672
1000,5000,10,4,0.525
1000,5000,10,8,0.403
1000,5000,10,16,0.29
1000,5000,10,32,0.135
1000,5000,10,64,0.086
1000,5000,10,128,0.071
10000,1000,2,1,0.346
10000,1000,2,2,0.185
10000,1000,2,4,0.167
10000,1000,2,8,0.12
10000,1000,2,16,0.074
10000,1000,2,32,0.047
10000,1000,2,64,0.03
10000,1000,2,128,0.032
10000,1000,5,1,1.398
10000,1000,5,2,0.755
10000,1000,5,4,0.619
10000,1000,5,8,0.327
10000,1000,5,16,0.253
10000,1000,5,32,0.11
10000,1000,5,64,0.083
10000,1000,5,128,0.055
10000,1000,10,1,3.104
10000,1000,10,2,1.659
10000,1000,10,4,0.91
10000,1000,10,8,0.725
10000,1000,10,16,0.394
10000,1000,10,32,0.274
10000,1000,10,64,0.162
10000,1000,10,128,0.123
10000,5000,2,1,1.366
10000,5000,2,2,0.739
10000,5000,2,4,0.438
10000,5000,2,8,0.513
10000,5000,2,16,0.271
10000,5000,2,32,0.118
10000,5000,2,64,0.077
10000,5000,2,128,0.074
10000,5000,5,1,5.478
10000,5000,5,2,2.851
10000,5000,5,4,1.618
10000,5000,5,8,0.731
10000,5000,5,16,0.709
10000,5000,5,32,0.546
10000,5000,5,64,0.269
10000,5000,5,128,0.241
10000,5000,10,1,12.415
10000,5000,10,2,6.459
10000,5000,10,4,3.27
10000,5000,10,8,2.025
10000,5000,10,16,1.181
10000,5000,10,32,0.807
10000,5000,10,64,0.403
10000,5000,10,128,0.373
100000,1000,2,1,3.198
100000,1000,2,2,1.731
100000,1000,2,4,1.329
100000,1000,2,8,0.826
100000,1000,2,16,0.385
100000,1000,2,32,0.302
100000,1000,2,64,0.163
100000,1000,2,128,0.13
100000,1000,5,1,13.561
100000,1000,5,2,7.188
100000,1000,5,4,3.76
100000,1000,5,8,2.229
100000,1000,5,16,1.029
100000,1000,5,32,0.951
100000,1000,5,64,0.583
100000,1000,5,128,0.476
100000,1000,10,1,31.675
100000,1000,10,2,16.564
100000,1000,10,4,8.79
100000,1000,10,8,4.745
100000,1000,10,16,2.274
100000,1000,10,32,1.462
100000,1000,10,64,1.259
100000,1000,10,128,0.996
100000,5000,2,1,13.379
100000,5000,2,2,6.977
100000,5000,2,4,3.782
100000,5000,2,8,2.247
100000,5000,2,16,1.242
100000,5000,2,32,0.941
100000,5000,2,64,0.435
100000,5000,2,128,0.548
100000,5000,5,1,55.33
100000,5000,5,2,28.723
100000,5000,5,4,14.649
100000,5000,5,8,7.559
100000,5000,10,1,125.216
100000,5000,10,2,64.788
100000,5000,10,4,32.903
,,,,
1000000,1000,2,128,1.0105
1000000,1000,2,32,1.3654
1000000,1000,2,64,1.0328
1000000,1000,2,4,8.6114
1000000,1000,2,8,4.3876
1000000,1000,2,16,2.1861
1000000,1000,5,4,38.123
1000000,1000,5,8,19.132
1000000,1000,5,16,9.8713
1000000,1000,5,32,10.207